student_id,gender,age,study_hours,attendance_rate,previous_grades,parental_education,family_income_level,course,semester,grade,passed
STU-0043,Male,23,17.0,93.7,2.87,Bachelor,Low,Science,Spring 2025,63.6,1
STU-0043,Male,23,4.5,61.5,2.87,Bachelor,Low,History,Spring 2024,43.0,0
STU-0043,Male,23,12.3,79.9,2.87,Bachelor,Low,Mathematics,Fall 2023,42.5,0
STU-0043,Male,23,22.2,78.9,2.87,Bachelor,Low,History,Fall 2024,47.7,0
STU-0044,Female,19,4.0,66.8,3.6,Bachelor,Low,Mathematics,Spring 2025,53.8,1
STU-0044,Female,19,,100.0,3.6,Bachelor,Low,Mathematics,Fall 2024,44.1,0
STU-0045,Female,18,16.5,50.6,2.92,Bachelor,Low,Science,Spring 2025,51.6,1
STU-0045,Female,18,17.4,,2.92,Bachelor,Low,Mathematics,Fall 2024,40.2,0
STU-0045,Female,18,20.5,61.5,2.92,Bachelor,Low,Computer Science,Fall 2023,46.1,0
STU-0046,Female,18,7.8,74.6,1.51,Bachelor,Medium,English,Fall 2023,55.4,1
STU-0046,Female,18,10.2,93.8,1.51,Bachelor,Medium,History,Fall 2024,45.8,0
STU-0046,Female,18,39.1,51.7,1.51,Bachelor,Medium,Computer Science,Spring 2025,61.4,1
STU-0047,Female,19,17.2,56.0,4.0,Bachelor,Low,Computer Science,Spring 2025,44.1,0
STU-0047,Female,19,33.8,74.3,4.0,Bachelor,Low,Mathematics,Fall 2024,60.2,1
STU-0047,Female,19,14.8,70.4,4.0,Bachelor,Low,English,Spring 2024,51.9,1
STU-0048,Female,17,14.7,93.1,1.88,High School,High,Computer Science,Fall 2023,68.3,1
STU-0048,Female,17,18.6,92.0,1.88,High School,High,Mathematics,Spring 2024,61.2,1
STU-0048,Female,17,17.5,93.3,1.88,High School,High,Science,Fall 2024,64.1,1
STU-0049,Male,21,11.8,68.0,2.66,Master,Low,History,Fall 2023,57.2,1
STU-0049,Male,21,30.3,94.5,2.66,Master,Low,Science,Spring 2025,79.1,1
STU-0050,Female,19,34.3,85.3,1.39,Bachelor,Medium,Mathematics,Spring 2024,69.4,1
STU-0050,Female,19,31.7,57.8,1.39,Bachelor,Medium,Computer Science,Fall 2023,62.8,1
STU-0050,Female,19,18.7,94.0,1.39,Bachelor,Medium,English,Spring 2025,55.0,1
STU-0050,Female,19,29.3,100.0,1.39,Bachelor,Medium,Computer Science,Fall 2024,63.7,1
STU-0051,Male,25,15.3,62.9,3.91,Master,Medium,Science,Spring 2024,56.2,1
STU-0051,Male,25,23.2,74.3,3.91,Master,Medium,Mathematics,Spring 2025,64.1,1
STU-0051,Male,25,17.3,75.5,3.91,Master,Medium,English,Fall 2024,61.0,1
STU-0052,Female,24,31.0,71.8,3.62,Bachelor,Medium,Science,Fall 2024,72.0,1
STU-0052,Female,24,12.9,95.8,3.62,Bachelor,Medium,Science,Fall 2023,77.9,1
STU-0053,Female,24,31.9,100.0,2.4,Master,Medium,Mathematics,Spring 2024,73.5,1
STU-0053,Female,24,16.4,77.0,2.4,Master,Medium,Mathematics,Fall 2024,58.4,1
STU-0054,Non-Binary,18,10.4,78.6,3.42,Bachelor,Medium,History,Fall 2024,66.7,1
STU-0054,Non-Binary,18,14.1,93.7,3.42,Bachelor,Medium,English,Fall 2023,71.2,1
STU-0054,Non-Binary,18,32.8,80.4,3.42,Bachelor,Medium,Computer Science,Spring 2025,89.7,1
STU-0055,Female,17,10.6,72.5,1.98,High School,Low,History,Spring 2025,43.3,0
STU-0055,Female,17,18.3,72.7,1.98,High School,Low,English,Fall 2023,41.5,0
STU-0056,Male,17,,98.7,3.4,Bachelor,Low,English,Spring 2024,65.9,1
STU-0056,Male,17,20.2,83.4,3.4,Bachelor,Low,History,Fall 2024,56.6,1
STU-0056,Male,17,22.1,65.6,3.4,Bachelor,Low,History,Fall 2023,64.3,1
STU-0057,Female,22,13.5,80.7,3.48,Bachelor,Low,History,Spring 2025,69.3,1
STU-0057,Female,22,17.5,85.2,3.48,Bachelor,Low,Science,Fall 2023,60.7,1
STU-0057,Female,22,8.2,72.3,3.48,Bachelor,Low,English,Fall 2024,55.4,1
STU-0058,Male,18,5.5,66.5,3.49,Master,Low,History,Spring 2024,58.3,1
STU-0058,Male,18,12.1,56.2,3.49,Master,Low,Science,Fall 2023,62.4,1
STU-0058,Male,18,23.5,74.6,3.49,Master,Low,History,Spring 2025,67.1,1
STU-0058,Male,18,17.7,72.6,3.49,Master,Low,Computer Science,Fall 2024,50.5,1
STU-0059,Female,23,21.9,53.6,3.67,Bachelor,Low,Mathematics,Fall 2024,60.7,1
STU-0059,Female,23,17.7,53.5,3.67,Bachelor,Low,Mathematics,Fall 2023,53.7,1
STU-0060,Male,24,37.8,73.6,2.32,Bachelor,High,Science,Fall 2024,85.2,1
STU-0060,Male,24,9.3,95.1,2.32,Bachelor,High,Mathematics,Spring 2024,68.9,1
STU-0061,Male,25,17.3,61.9,1.77,Bachelor,Low,Mathematics,Fall 2023,45.7,0
STU-0061,Male,25,6.9,58.4,1.77,Bachelor,Low,Computer Science,Fall 2024,43.9,0
STU-0062,Male,17,21.5,65.3,3.19,PhD,Low,Mathematics,Fall 2024,67.2,1
STU-0062,Male,17,24.1,94.0,3.19,PhD,Low,Science,Spring 2025,76.7,1
STU-0062,Male,17,37.9,71.9,3.19,PhD,Low,English,Fall 2023,93.2,1
STU-0062,Male,17,30.4,66.3,3.19,PhD,Low,Science,Spring 2024,68.4,1
STU-0063,Male,18,10.8,55.3,2.08,No Degree,Low,English,Spring 2025,44.7,0
STU-0063,Male,18,8.3,74.8,2.08,No Degree,Low,Mathematics,Spring 2024,28.1,0
STU-0063,Male,18,11.2,70.0,2.08,No Degree,Low,Mathematics,Fall 2024,42.6,0
STU-0063,Male,18,22.5,88.1,2.08,No Degree,Low,Computer Science,Fall 2023,38.8,0
STU-0064,Male,20,17.2,100.0,2.17,Bachelor,Medium,Science,Fall 2024,50.7,1
STU-0064,Male,20,13.4,64.7,2.17,Bachelor,Medium,English,Spring 2024,39.4,0
STU-0064,Male,20,,98.7,2.17,Bachelor,Medium,English,Fall 2023,67.8,1
STU-0064,Male,20,21.2,82.9,2.17,Bachelor,Medium,History,Spring 2025,59.3,1
STU-0065,Female,22,21.4,64.9,1.24,Master,Medium,English,Spring 2025,41.2,0
STU-0065,Female,22,9.1,95.4,1.24,Master,Medium,English,Fall 2023,50.4,1
STU-0065,Female,22,22.3,66.5,1.24,Master,Medium,Computer Science,Spring 2024,49.3,0
STU-0066,Female,22,12.5,66.9,3.5,High School,Medium,Mathematics,Spring 2025,44.0,0
STU-0066,Female,22,13.9,100.0,3.5,High School,Medium,History,Spring 2024,68.5,1
STU-0067,Female,22,15.5,59.5,3.1,High School,Low,Computer Science,Fall 2024,46.0,0
STU-0067,Female,22,20.1,100.0,3.1,High School,Low,Mathematics,Fall 2023,69.3,1
STU-0067,Female,22,23.8,80.2,3.1,High School,Low,History,Spring 2025,67.9,1
STU-0068,Female,22,18.7,65.2,1.0,High School,Low,History,Fall 2023,49.7,0
STU-0068,Female,22,15.2,73.5,1.0,High School,Low,Science,Fall 2024,40.7,0
STU-0069,Male,24,,93.6,2.94,Master,High,Computer Science,Spring 2024,87.8,1
STU-0069,Male,24,22.2,64.3,2.94,Master,High,History,Spring 2025,74.6,1
STU-0070,Non-Binary,25,23.4,83.5,2.52,No Degree,Low,History,Fall 2024,61.0,1
STU-0070,Non-Binary,25,20.1,70.2,,No Degree,Low,English,Fall 2023,56.3,1
STU-0070,Non-Binary,25,23.9,53.1,2.52,No Degree,Low,Mathematics,Spring 2024,55.8,1
STU-0070,Non-Binary,25,31.2,60.1,2.52,No Degree,Low,English,Spring 2025,36.8,0
STU-0071,Male,17,20.5,89.7,1.97,Bachelor,Low,Mathematics,Fall 2023,54.5,1
STU-0071,Male,17,14.4,74.7,1.97,Bachelor,Low,Science,Fall 2024,38.8,0
STU-0071,Male,17,5.7,50.5,1.97,Bachelor,Low,Science,Spring 2025,35.6,0
STU-0072,Female,23,21.7,75.2,3.33,Master,Medium,History,Spring 2024,72.4,1
STU-0072,Female,23,22.6,61.3,3.33,Master,Medium,Science,Fall 2023,80.9,1
STU-0073,Non-Binary,19,10.1,71.6,2.99,Bachelor,Low,Computer Science,Fall 2024,53.4,1
STU-0073,Non-Binary,19,10.3,66.9,2.99,Bachelor,Low,Science,Fall 2023,51.9,1
STU-0073,Non-Binary,19,5.3,81.6,2.99,Bachelor,Low,Mathematics,Spring 2025,48.3,0
STU-0074,Female,17,14.2,84.0,3.19,High School,Medium,Computer Science,Spring 2024,63.3,1
STU-0074,Female,17,6.1,89.1,3.19,High School,Medium,Science,Spring 2025,52.7,1
STU-0074,Female,17,22.5,67.5,3.19,High School,Medium,Mathematics,Fall 2023,67.0,1
STU-0074,Female,17,12.0,,3.19,High School,Medium,History,Fall 2024,65.0,1
STU-0075,Female,17,15.1,93.4,3.15,Bachelor,Low,Computer Science,Spring 2024,73.1,1
STU-0075,Female,17,13.5,54.5,3.15,Bachelor,Low,English,Spring 2025,46.5,0
STU-0076,Non-Binary,19,22.6,100.0,4.0,Bachelor,Medium,Mathematics,Spring 2025,73.9,1
STU-0076,Non-Binary,19,16.4,61.5,4.0,Bachelor,Medium,Computer Science,Fall 2024,55.1,1
STU-0076,Non-Binary,19,9.8,100.0,4.0,Bachelor,Medium,Mathematics,Fall 2023,71.3,1
STU-0077,Male,21,4.5,58.1,3.48,High School,Medium,English,Fall 2024,45.6,0
STU-0077,Male,21,17.4,79.4,,High School,Medium,History,Spring 2025,56.3,1
STU-0077,Male,21,17.4,83.7,3.48,High School,Medium,History,Fall 2023,57.6,1
STU-0077,Male,21,20.7,76.3,3.48,High School,Medium,Science,Spring 2024,56.1,1
STU-0078,Female,17,12.5,94.0,1.17,High School,High,Computer Science,Fall 2023,62.0,1
STU-0078,Female,17,17.1,99.4,1.17,High School,High,Mathematics,Spring 2024,55.0,1
STU-0078,Female,17,18.3,83.3,1.17,High School,High,Mathematics,Fall 2024,76.8,1
STU-0078,Female,17,7.9,67.7,1.17,High School,High,History,Spring 2025,38.9,0
STU-0079,Non-Binary,25,24.7,81.5,2.63,Bachelor,High,Science,Fall 2023,73.1,1
STU-0079,Non-Binary,25,18.0,81.4,2.63,Bachelor,High,Computer Science,Spring 2025,46.3,0
STU-0079,Non-Binary,25,18.7,79.5,2.63,Bachelor,High,Mathematics,Spring 2024,73.4,1
STU-0080,Female,22,20.8,61.5,2.6,High School,Low,English,Spring 2024,49.8,0
STU-0080,Female,22,16.4,71.6,2.6,High School,Low,Science,Spring 2025,50.8,1
STU-0080,Female,22,16.3,87.3,2.6,High School,Low,Mathematics,Fall 2024,65.0,1
STU-0081,Male,19,21.5,88.9,3.19,PhD,High,Computer Science,Spring 2025,78.2,1
STU-0081,Male,19,24.9,91.9,3.19,PhD,High,Computer Science,Fall 2024,78.5,1
STU-0082,Male,18,,56.5,2.32,Bachelor,Low,Mathematics,Spring 2025,44.6,0
STU-0082,Male,18,15.1,64.4,2.32,Bachelor,Low,Computer Science,Fall 2024,49.7,0
STU-0082,Male,18,13.0,97.8,2.32,Bachelor,Low,History,Fall 2023,66.5,1
STU-0082,Male,18,12.1,64.5,2.32,Bachelor,Low,Mathematics,Spring 2024,48.9,0
STU-0083,Female,18,26.2,76.3,2.08,High School,High,English,Spring 2024,72.5,1
STU-0083,Female,18,22.6,77.5,,High School,High,Science,Fall 2024,54.7,1
STU-0083,Female,18,12.1,86.9,2.08,High School,High,Computer Science,Fall 2023,46.2,0
STU-0084,Male,18,4.0,,2.93,Bachelor,Low,Mathematics,Spring 2024,43.1,0
STU-0084,Male,18,17.7,86.0,2.93,Bachelor,Low,History,Fall 2024,48.8,0
STU-0085,Female,20,13.7,82.9,3.0,Master,Medium,Computer Science,Spring 2025,61.3,1
STU-0085,Female,20,24.2,85.6,3.0,Master,Medium,History,Fall 2024,51.9,1
STU-0086,Female,17,34.1,77.0,2.73,Bachelor,Low,History,Spring 2025,64.4,1
STU-0086,Female,17,19.5,63.0,2.73,Bachelor,Low,English,Spring 2024,62.6,1
STU-0087,Male,20,16.0,87.1,2.48,Master,Medium,Science,Spring 2025,73.5,1
STU-0087,Male,20,12.6,64.8,2.48,Master,Medium,Science,Fall 2024,61.5,1
STU-0088,Male,20,18.3,67.4,,High School,High,History,Fall 2024,58.4,1
STU-0088,Male,20,10.3,64.3,2.76,High School,High,History,Spring 2024,50.4,1
STU-0088,Male,20,12.6,76.0,2.76,High School,High,History,Spring 2025,60.2,1
STU-0089,Female,19,8.1,87.1,2.68,Bachelor,Medium,Science,Spring 2024,45.3,0
STU-0089,Female,19,19.9,94.9,2.68,Bachelor,Medium,English,Fall 2024,60.4,1
STU-0089,Female,19,17.2,76.7,2.68,Bachelor,Medium,Mathematics,Spring 2025,65.8,1
STU-0089,Female,19,22.6,71.6,2.68,Bachelor,Medium,English,Fall 2023,54.3,1
STU-0090,Male,21,4.0,68.7,3.2,Bachelor,Medium,Mathematics,Fall 2023,53.4,1
STU-0090,Male,21,28.6,81.7,3.2,Bachelor,Medium,Science,Spring 2025,76.3,1
STU-0091,Male,19,13.9,64.3,3.04,Bachelor,High,English,Fall 2024,62.1,1
STU-0091,Male,19,29.6,69.2,3.04,Bachelor,High,Science,Spring 2025,78.3,1
STU-0091,Male,19,24.2,97.8,3.04,Bachelor,High,Science,Spring 2024,82.8,1
STU-0091,Male,19,21.8,100.0,3.04,Bachelor,High,English,Fall 2023,73.3,1
STU-0092,Female,19,7.1,69.5,2.51,High School,Medium,Computer Science,Fall 2023,47.7,0
STU-0092,Female,19,31.4,100.0,2.51,High School,Medium,Science,Spring 2024,86.6,1
STU-0093,Female,19,25.6,85.2,3.47,Bachelor,Low,Science,Fall 2024,44.9,0
STU-0093,Female,19,24.4,80.4,3.47,Bachelor,Low,History,Spring 2024,60.1,1
STU-0093,Female,19,17.3,73.2,3.47,Bachelor,Low,Mathematics,Fall 2023,69.4,1
STU-0094,Non-Binary,22,27.6,48.9,3.24,Bachelor,Medium,History,Fall 2023,51.6,1
STU-0094,Non-Binary,22,20.8,88.8,3.24,Bachelor,Medium,Computer Science,Spring 2024,81.9,1
STU-0094,Non-Binary,22,21.4,81.0,3.24,Bachelor,Medium,Computer Science,Spring 2025,63.3,1
STU-0094,Non-Binary,22,22.2,72.5,3.24,Bachelor,Medium,Computer Science,Fall 2024,67.8,1
STU-0095,Female,21,20.7,73.9,2.87,Master,Medium,History,Spring 2025,56.6,1
STU-0095,Female,21,22.3,79.8,2.87,Master,Medium,History,Fall 2024,59.7,1
STU-0095,Female,21,12.4,91.3,2.87,Master,Medium,English,Spring 2024,58.0,1
STU-0096,Non-Binary,22,14.1,82.5,2.3,Bachelor,High,English,Fall 2023,52.8,1
STU-0096,Non-Binary,22,16.6,82.7,2.3,Bachelor,High,Mathematics,Fall 2024,70.0,1
STU-0096,Non-Binary,22,10.9,82.0,2.3,Bachelor,High,English,Spring 2024,63.4,1
STU-0096,Non-Binary,22,17.1,71.9,2.3,Bachelor,High,Computer Science,Spring 2025,68.0,1
STU-0097,Non-Binary,18,17.1,83.2,2.16,High School,Medium,English,Spring 2024,49.6,0
STU-0097,Non-Binary,18,14.0,68.9,2.16,High School,Medium,Science,Fall 2024,62.5,1
STU-0098,Male,22,19.2,59.0,2.59,Bachelor,Medium,Science,Fall 2024,54.6,1
STU-0098,Male,22,9.0,87.8,2.59,Bachelor,Medium,Science,Spring 2024,69.1,1
STU-0098,Male,22,15.9,78.3,2.59,Bachelor,Medium,History,Spring 2025,52.6,1
STU-0099,Female,19,8.6,66.4,2.35,No Degree,High,Computer Science,Fall 2023,51.8,1
STU-0099,Female,19,15.7,90.6,2.35,No Degree,High,English,Spring 2025,63.6,1
STU-0099,Female,19,27.7,80.1,2.35,No Degree,High,Science,Spring 2024,60.7,1
STU-0100,Non-Binary,17,2.5,53.5,2.24,High School,High,Computer Science,Spring 2025,43.2,0
STU-0100,Non-Binary,17,10.0,95.0,2.24,High School,High,History,Fall 2023,68.1,1
